      T  ,      Cp  ,     H-H298,       S   ,  -(G-H298)/T,     H   ,    delta Hf,    log K
    deg-K,   J/mol-K,     kJ/mol,    J/mol-K,    J/mol-K  ,   kJ/mol,     kJ/mol ,     none
     300 ,    24.234,      0.045,     28.450,     28.300  ,    0.045,       0    ,      0   
     310 ,    24.413,      0.288,     29.247,     28.318  ,    0.288,       0    ,      0   
     320 ,    24.584,      0.533,     30.025,     28.359  ,    0.533,       0    ,      0   
     330 ,    24.746,      0.780,     30.784,     28.421  ,    0.780,       0    ,      0   
     340 ,    24.902,      1.028,     31.525,     28.502  ,    1.028,       0    ,      0   
     350 ,    25.052,      1.278,     32.249,     28.599  ,    1.278,       0    ,      0   
     360 ,    25.197,      1.529,     32.957,     28.710  ,    1.529,       0    ,      0   
     370 ,    25.337,      1.782,     33.649,     28.834  ,    1.782,       0    ,      0   
     380 ,    25.473,      2.036,     34.327,     28.970  ,    2.036,       0    ,      0   
     390 ,    25.605,      2.291,     34.990,     29.116  ,    2.291,       0    ,      0   
     400 ,    25.734,      2.548,     35.640,     29.271  ,    2.548,       0    ,      0   
     410 ,    25.860,      2.806,     36.277,     29.434  ,    2.806,       0    ,      0   
     420 ,    25.983,      3.065,     36.902,     29.604  ,    3.065,       0    ,      0   
     430 ,    26.105,      3.325,     37.515,     29.781  ,    3.325,       0    ,      0   
     440 ,    26.224,      3.587,     38.116,     29.964  ,    3.587,       0    ,      0   
     450 ,    26.341,      3.850,     38.707,     30.151  ,    3.850,       0    ,      0   
     460 ,    26.457,      4.114,     39.287,     30.344  ,    4.114,       0    ,      0   
     470 ,    26.572,      4.379,     39.857,     30.540  ,    4.379,       0    ,      0   
     480 ,    26.685,      4.645,     40.418,     30.740  ,    4.645,       0    ,      0   
     490 ,    26.798,      4.913,     40.969,     30.943  ,    4.913,       0    ,      0   
     500 ,    26.910,      5.181,     41.512,     31.149  ,    5.181,       0    ,      0   
     510 ,    27.022,      5.451,     42.046,     31.358  ,    5.451,       0    ,      0   
     520 ,    27.133,      5.722,     42.571,     31.568  ,    5.722,       0    ,      0   
     530 ,    27.245,      5.994,     43.089,     31.781  ,    5.994,       0    ,      0   
     540 ,    27.357,      6.267,     43.600,     31.995  ,    6.267,       0    ,      0   
     550 ,    27.469,      6.541,     44.103,     32.210  ,    6.541,       0    ,      0   
     560 ,    27.582,      6.816,     44.599,     32.427  ,    6.816,       0    ,      0   
     570 ,    27.696,      7.092,     45.088,     32.645  ,    7.092,       0    ,      0   
     580 ,    27.811,      7.370,     45.570,     32.864  ,    7.370,       0    ,      0   
     590 ,    27.927,      7.649,     46.047,     33.083  ,    7.649,       0    ,      0   
     600 ,    28.044,      7.928,     46.517,     33.303  ,    7.928,       0    ,      0   
