      T  ,      Cp  ,     H-H298,       S   ,  -(G-H298)/T,     H   ,    delta Hf,    log K
    deg-K,   J/mol-K,     kJ/mol,    J/mol-K,    J/mol-K  ,   kJ/mol,     kJ/mol ,    none
     300 ,    51.383,      0.095,    255.143,    254.827  , -355.379,   -355.504 ,   59.5955
     310 ,    52.058,      0.612,    256.839,    254.864  , -354.861,   -355.669 ,   57.5983
     320 ,    52.715,      1.136,    258.502,    254.952  , -354.338,   -355.830 ,   55.7251
     330 ,    53.354,      1.666,    260.134,    255.084  , -353.807,   -355.986 ,   53.9647
     340 ,    53.975,      2.203,    261.736,    255.257  , -353.270,   -356.139 ,   52.3071
     350 ,    54.579,      2.746,    263.310,    255.464  , -352.728,   -356.288 ,   50.7435
     360 ,    55.164,      3.295,    264.855,    255.704  , -352.179,   -356.433 ,   49.2663
     370 ,    55.732,      3.849,    266.375,    255.972  , -351.624,   -356.575 ,   47.8683
     380 ,    56.283,      4.409,    267.868,    256.265  , -351.064,   -356.714 ,   46.5433
     390 ,    56.816,      4.975,    269.337,    256.581  , -350.499,   -356.849 ,   45.2858
     400 ,    57.334,      5.545,    270.782,    256.918  , -349.928,   -356.982 ,   44.0908
     410 ,    57.835,      6.121,    272.204,    257.274  , -349.352,   -357.112 ,   42.9536
     420 ,    58.320,      6.702,    273.604,    257.646  , -348.771,   -357.239 ,   41.8702
     430 ,    58.790,      7.288,    274.981,    258.033  , -348.186,   -357.363 ,   40.8368
     440 ,    59.245,      7.878,    276.338,    258.434  , -347.596,   -357.485 ,   39.8500
     450 ,    59.685,      8.472,    277.674,    258.847  , -347.001,   -357.605 ,   38.9068
     460 ,    60.111,      9.071,    278.991,    259.270  , -346.402,   -357.722 ,   38.0043
     470 ,    60.524,      9.675,    280.288,    259.704  , -345.799,   -357.838 ,   37.1399
     480 ,    60.923,     10.282,    281.567,    260.146  , -345.192,   -357.951 ,   36.3113
     490 ,    61.309,     10.893,    282.827,    260.596  , -344.580,   -358.063 ,   35.5162
     500 ,    61.683,     11.508,    284.069,    261.053  , -343.965,   -358.174 ,   34.7527
     510 ,    62.044,     12.127,    285.294,    261.516  , -343.347,   -358.282 ,   34.0189
     520 ,    62.394,     12.749,    286.502,    261.985  , -342.725,   -358.390 ,   33.3132
     530 ,    62.733,     13.375,    287.694,    262.459  , -342.099,   -358.496 ,   32.6338
     540 ,    63.061,     14.004,    288.870,    262.937  , -341.470,   -358.600 ,   31.9795
     550 ,    63.379,     14.636,    290.030,    263.419  , -340.838,   -358.704 ,   31.3487
     560 ,    63.687,     15.271,    291.175,    263.905  , -340.202,   -358.807 ,   30.7403
     570 ,    63.985,     15.909,    292.305,    264.393  , -339.564,   -358.909 ,   30.1531
     580 ,    64.274,     16.551,    293.420,    264.884  , -338.923,   -359.010 ,   29.5859
     590 ,    64.554,     17.195,    294.521,    265.377  , -338.279,   -359.111 ,   29.0379
     600 ,    64.826,     17.842,    295.608,    265.872  , -337.632,   -359.211 ,   28.5079
     610 ,    65.089,     18.491,    296.682,    266.368  , -336.982,   -359.310 ,   27.9952
     620 ,    65.345,     19.144,    297.742,    266.866  , -336.330,   -359.409 ,   27.4989
     630 ,    65.594,     19.798,    298.790,    267.364  , -335.675,   -359.508 ,   27.0182
     640 ,    65.835,     20.455,    299.825,    267.863  , -335.018,   -359.606 ,   26.5524
     650 ,    66.070,     21.115,    300.847,    268.363  , -334.359,   -359.705 ,   26.1008
     660 ,    66.298,     21.777,    301.858,    268.863  , -333.697,   -359.803 ,   25.6628
     670 ,    66.520,     22.441,    302.857,    269.363  , -333.033,   -359.901 ,   25.2377
     680 ,    66.736,     23.107,    303.844,    269.863  , -332.366,   -360.000 ,   24.8251
     690 ,    66.947,     23.776,    304.819,    270.362  , -331.698,   -360.098 ,   24.4242
     700 ,    67.152,     24.446,    305.784,    270.861  , -331.027,   -360.197 ,   24.0348
     710 ,    67.353,     25.119,    306.738,    271.360  , -330.355,   -360.297 ,   23.6561
     720 ,    67.548,     25.793,    307.682,    271.858  , -329.680,   -360.396 ,   23.2880
     730 ,    67.739,     26.470,    308.615,    272.355  , -329.004,   -360.496 ,   22.9297
     740 ,    67.926,     27.148,    309.537,    272.851  , -328.326,   -360.597 ,   22.5811
     750 ,    68.108,     27.828,    310.450,    273.346  , -327.645,   -360.698 ,   22.2417
