      T  ,      Cp  ,     H-H298,       S   ,  -(G-H298)/T,     H   ,    delta Hf,    log K
    deg-K,   J/mol-K,     kJ/mol,    J/mol-K,    J/mol-K  ,   kJ/mol,     kJ/mol ,     none
     300 ,    28.849,      0.053,    130.859,    130.682  ,    0.053,       0    ,      0   
     310 ,    28.912,      0.342,    131.806,    130.703  ,    0.342,       0    ,      0   
     320 ,    28.967,      0.632,    132.725,    130.752  ,    0.632,       0    ,      0   
     330 ,    29.013,      0.921,    133.617,    130.825  ,    0.921,       0    ,      0   
     340 ,    29.053,      1.212,    134.484,    130.920  ,    1.212,       0    ,      0   
     350 ,    29.086,      1.503,    135.327,    131.034  ,    1.503,       0    ,      0   
     360 ,    29.115,      1.794,    136.147,    131.165  ,    1.794,       0    ,      0   
     370 ,    29.139,      2.085,    136.945,    131.310  ,    2.085,       0    ,      0   
     380 ,    29.158,      2.376,    137.722,    131.469  ,    2.376,       0    ,      0   
     390 ,    29.175,      2.668,    138.480,    131.639  ,    2.668,       0    ,      0   
     400 ,    29.189,      2.960,    139.218,    131.819  ,    2.960,       0    ,      0   
     410 ,    29.200,      3.252,    139.939,    132.008  ,    3.252,       0    ,      0   
     420 ,    29.210,      3.544,    140.643,    132.205  ,    3.544,       0    ,      0   
     430 ,    29.218,      3.836,    141.330,    132.410  ,    3.836,       0    ,      0   
     440 ,    29.225,      4.128,    142.002,    132.620  ,    4.128,       0    ,      0   
     450 ,    29.231,      4.420,    142.659,    132.836  ,    4.420,       0    ,      0   
     460 ,    29.236,      4.713,    143.302,    133.057  ,    4.713,       0    ,      0   
     470 ,    29.241,      5.005,    143.930,    133.281  ,    5.005,       0    ,      0   
     480 ,    29.245,      5.298,    144.546,    133.510  ,    5.298,       0    ,      0   
     490 ,    29.249,      5.590,    145.149,    133.741  ,    5.590,       0    ,      0   
     500 ,    29.254,      5.883,    145.740,    133.975  ,    5.883,       0    ,      0   
     510 ,    29.258,      6.175,    146.319,    134.211  ,    6.175,       0    ,      0   
     520 ,    29.263,      6.468,    146.888,    134.450  ,    6.468,       0    ,      0   
     530 ,    29.268,      6.760,    147.445,    134.690  ,    6.760,       0    ,      0   
     540 ,    29.273,      7.053,    147.992,    134.931  ,    7.053,       0    ,      0   
     550 ,    29.279,      7.346,    148.529,    135.173  ,    7.346,       0    ,      0   
     560 ,    29.286,      7.639,    149.057,    135.417  ,    7.639,       0    ,      0   
     570 ,    29.293,      7.932,    149.575,    135.660  ,    7.932,       0    ,      0   
     580 ,    29.301,      8.225,    150.085,    135.905  ,    8.225,       0    ,      0   
     590 ,    29.309,      8.518,    150.586,    136.149  ,    8.518,       0    ,      0   
     600 ,    29.318,      8.811,    151.079,    136.394  ,    8.811,       0    ,      0   
     610 ,    29.328,      9.104,    151.563,    136.639  ,    9.104,       0    ,      0   
     620 ,    29.338,      9.397,    152.040,    136.883  ,    9.397,       0    ,      0   
     630 ,    29.349,      9.691,    152.510,    137.128  ,    9.691,       0    ,      0   
     640 ,    29.361,      9.984,    152.972,    137.372  ,    9.984,       0    ,      0   
     650 ,    29.373,     10.278,    153.427,    137.615  ,   10.278,       0    ,      0   
     660 ,    29.386,     10.572,    153.876,    137.858  ,   10.572,       0    ,      0   
     670 ,    29.400,     10.866,    154.318,    138.101  ,   10.866,       0    ,      0   
     680 ,    29.414,     11.160,    154.754,    138.342  ,   11.160,       0    ,      0   
     690 ,    29.429,     11.454,    155.183,    138.583  ,   11.454,       0    ,      0   
     700 ,    29.444,     11.748,    155.607,    138.823  ,   11.748,       0    ,      0   
     710 ,    29.460,     12.043,    156.024,    139.063  ,   12.043,       0    ,      0   
     720 ,    29.477,     12.337,    156.437,    139.301  ,   12.337,       0    ,      0   
     730 ,    29.494,     12.632,    156.843,    139.539  ,   12.632,       0    ,      0   
     740 ,    29.512,     12.927,    157.245,    139.775  ,   12.927,       0    ,      0   
     750 ,    29.530,     13.223,    157.641,    140.011  ,   13.223,       0    ,      0   
     760 ,    29.549,     13.518,    158.032,    140.245  ,   13.518,       0    ,      0   
     770 ,    29.568,     13.814,    158.419,    140.479  ,   13.814,       0    ,      0   
     780 ,    29.588,     14.109,    158.800,    140.711  ,   14.109,       0    ,      0   
     790 ,    29.608,     14.405,    159.177,    140.943  ,   14.405,       0    ,      0   
     800 ,    29.629,     14.701,    159.550,    141.173  ,   14.701,       0    ,      0   
     810 ,    29.651,     14.998,    159.918,    141.402  ,   14.998,       0    ,      0   
     820 ,    29.673,     15.295,    160.282,    141.630  ,   15.295,       0    ,      0   
     830 ,    29.696,     15.591,    160.642,    141.857  ,   15.591,       0    ,      0   
     840 ,    29.719,     15.888,    160.998,    142.083  ,   15.888,       0    ,      0   
     850 ,    29.743,     16.186,    161.349,    142.307  ,   16.186,       0    ,      0   
     860 ,    29.767,     16.483,    161.697,    142.531  ,   16.483,       0    ,      0   
     870 ,    29.793,     16.781,    162.042,    142.753  ,   16.781,       0    ,      0   
     880 ,    29.819,     17.079,    162.382,    142.974  ,   17.079,       0    ,      0   
     890 ,    29.845,     17.377,    162.719,    143.194  ,   17.377,       0    ,      0   
     900 ,    29.873,     17.676,    163.053,    143.413  ,   17.676,       0    ,      0   
     910 ,    29.901,     17.975,    163.383,    143.631  ,   17.975,       0    ,      0   
     920 ,    29.931,     18.274,    163.710,    143.847  ,   18.274,       0    ,      0   
     930 ,    29.961,     18.574,    164.034,    144.062  ,   18.574,       0    ,      0   
     940 ,    29.992,     18.873,    164.355,    144.277  ,   18.873,       0    ,      0   
     950 ,    30.025,     19.173,    164.672,    144.490  ,   19.173,       0    ,      0   
     960 ,    30.058,     19.474,    164.987,    144.702  ,   19.474,       0    ,      0   
     970 ,    30.093,     19.775,    165.298,    144.912  ,   19.775,       0    ,      0   
