T  ,       Cp   ,     H-H298 ,       S    ,  -(G-H298)/T,      H    ,    delta Hf,     log K
deg-k,    J/mol-K,      kJ/mol,     J/mol-K,     J/mol-K ,     kJ/mol,      kJ/mol,
,,,,,,,
0,       0.   ,      -9.904,       0.   ,     INFINITE,   -251.730,    -238.922,    INFINITE
300,      33.596,       0.062,     189.037,     188.830 ,   -241.764,    -241.844,     39.7840
310,      33.643,       0.398,     190.139,     188.854 ,   -241.428,    -241.944,     38.4254
320,      33.696,       0.735,     191.208,     188.911 ,   -241.091,    -242.044,     37.1512
330,      33.753,       1.072,     192.246,     188.997 ,   -240.754,    -242.144,     35.9537
340,      33.815,       1.410,     193.254,     189.107 ,   -240.416,    -242.245,     34.8262
350,      33.881,       1.749,     194.236,     189.240 ,   -240.077,    -242.345,     33.7627
360,      33.950,       2.088,     195.191,     189.392 ,   -239.738,    -242.446,     32.7579
370,      34.024,       2.428,     196.122,     189.561 ,   -239.398,    -242.547,     31.8069
380,      34.101,       2.768,     197.031,     189.746 ,   -239.058,    -242.647,     30.9057
390,      34.182,       3.110,     197.917,     189.944 ,   -238.716,    -242.747,     30.0503
400,      34.265,       3.452,     198.784,     190.154 ,   -238.374,    -242.847,     29.2374
410,      34.352,       3.795,     199.631,     190.375 ,   -238.031,    -242.947,     28.4637
420,      34.440,       4.139,     200.460,     190.605 ,   -237.687,    -243.046,     27.7267
430,      34.532,       4.484,     201.271,     190.844 ,   -237.342,    -243.145,     27.0236
440,      34.625,       4.830,     202.066,     191.090 ,   -236.996,    -243.244,     26.3522
450,      34.721,       5.176,     202.846,     191.343 ,   -236.650,    -243.342,     25.7104
460,      34.818,       5.524,     203.610,     191.601 ,   -236.302,    -243.440,     25.0962
470,      34.918,       5.873,     204.360,     191.865 ,   -235.953,    -243.537,     24.5079
480,      35.019,       6.222,     205.096,     192.133 ,   -235.604,    -243.634,     23.9440
490,      35.121,       6.573,     205.819,     192.405 ,   -235.253,    -243.731,     23.4028
500,      35.225,       6.925,     206.529,     192.680 ,   -234.901,    -243.827,     22.8831
510,      35.330,       7.278,     207.228,     192.958 ,   -234.548,    -243.922,     22.3835
520,      35.436,       7.631,     207.915,     193.239 ,   -234.195,    -244.017,     21.9030
530,      35.544,       7.986,     208.591,     193.523 ,   -233.840,    -244.112,     21.4404
540,      35.653,       8.342,     209.257,     193.808 ,   -233.484,    -244.205,     20.9948
550,      35.762,       8.699,     209.912,     194.095 ,   -233.127,    -244.299,     20.5653
560,      35.873,       9.057,     210.557,     194.383 ,   -232.769,    -244.392,     20.1509
570,      35.984,       9.417,     211.193,     194.672 ,   -232.409,    -244.484,     19.7509
580,      36.097,       9.777,     211.820,     194.963 ,   -232.049,    -244.576,     19.3646
590,      36.210,      10.139,     212.438,     195.254 ,   -231.687,    -244.667,     18.9912
600,      36.324,      10.501,     213.047,     195.545 ,   -231.325,    -244.758,     18.6301
